SAN IGNACIO,8,60,25,15
SAN NICOLAS,8,64,19,17
SAN PEDRO DE LA PAZ,8,47,21,32
SAN ROSENDO,8,60,13,27
SANTA BARBARA,8,51,27,22
SANTA JUANA,8,56,21,23
TALCAHUANO,8,46,20,34
TIRUA,8,53,33,14
TOME,8,57,18,25
TREGUACO,8,64,20,16
TUCAPEL,8,65,15,20
YUMBEL,8,60,20,20
YUNGAY,8,54,23,23
ANGOL,9,51,28,21
CARAHUE,9,59,27,14
CHOLCHOL,9,56,28,16
COLLIPULLI,9,61,20,19
CUNCO,9,54,30,16
CURACAUTIN,9,57,28,15
CURARREHUE,9,52,34,14
ERCILLA,9,57,28,15
FREIRE,9,56,26,18
GALVARINO,9,60,25,15
GORBEA,9,48,36,16
LAUTARO,9,57,27,16
LONCOCHE,9,54,28,18
LONQUIMAY,9,49,38,13
LOS SAUCES,9,61,27,12
LUMACO,9,60,26,14
MELIPEUCO,9,49,36,15
NUEVA IMPERIAL,9,58,25,17
PADRE LAS CASAS,9,50,26,24
PERQUENCO,9,63,23,14
PITRUFQUEN,9,52,30,18
PUCON,9,40,37,23
PUREN,9,58,27,15
RENAICO,9,60,20,20
SAAVEDRA,9,63,23,14
TEMUCO,9,44,30,26
TEODORO SCHMIDT,9,48,35,17
TOLTEN,9,49,38,13
TRAIGUEN,9,60,24,16
VICTORIA,9,56,26,18
VILCUN,9,58,25,17
VILLARRICA,9,46,33,21
ANCUD,10,52,27,21
CALBUCO,10,51,27,22
CASTRO,10,57,21,22
CHAITEN,10,62,25,13
CHONCHI,10,64,19,17
COCHAMO,10,49,33,18
CURACO DE VELEZ,10,68,16,16
DALCAHUE,10,60,23,17
FRESIA,10,62,26,12
FRUTILLAR,10,60,24,16
FUTALEUFU,10,52,33,15
HUALAIHUE,10,54,28,18
LLANQUIHUE,10,64,19,17
LOS MUERMOS,10,54,32,14
MAULLIN,10,55,29,16
OSORNO,10,56,23,21
PALENA,10,69,20,11
PUERTO MONTT,10,49,26,25
PUERTO OCTAY,10,66,20,14
PUERTO VARAS,10,46,33,21
PUQUELDON,10,68,16,16
PURRANQUE,10,62,23,15
PUYEHUE,10,66,20,14
QUEILEN,10,58,28,14
